"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","US","Days with AQI vs Good Days","CBSA/metro(n=501)","corr=0.432","county(n=997)","corr=0.595","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Days with AQI vs Moderate Days","CBSA/metro(n=501)","corr=0.432","county(n=997)","corr=0.473","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Days with AQI vs Unhealthy for Sensitive Groups Days","CBSA/metro(n=501)","corr=0.137","county(n=997)","corr=0.153","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Days with AQI vs Unhealthy Days","CBSA/metro(n=501)","corr=0.072","county(n=997)","corr=0.079","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","yes"
"","US","Days with AQI vs Max AQI","CBSA/metro(n=501)","corr=0.155","county(n=997)","corr=0.181","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Days with AQI vs 90th Percentile AQI","CBSA/metro(n=501)","corr=0.274","county(n=997)","corr=0.3","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Days with AQI vs Median AQI","CBSA/metro(n=501)","corr=0.267","county(n=997)","corr=0.31","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Days with AQI vs Days CO","CBSA/metro(n=501)","corr=-0.001","county(n=997)","corr=0.013","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Days with AQI vs Days NO2","CBSA/metro(n=501)","corr=0.107","county(n=997)","corr=0.049","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","no"
"","US","Days with AQI vs Days Ozone","CBSA/metro(n=501)","corr=0.192","county(n=997)","corr=0.204","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Days with AQI vs Days PM2.5","CBSA/metro(n=501)","corr=0.336","county(n=997)","corr=0.352","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Days with AQI vs Days PM10","CBSA/metro(n=501)","corr=0.038","county(n=997)","corr=0.056","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Good Days vs Moderate Days","CBSA/metro(n=501)","corr=-0.607","county(n=997)","corr=-0.414","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Good Days vs Unhealthy for Sensitive Groups Days","CBSA/metro(n=501)","corr=-0.525","county(n=997)","corr=-0.394","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Good Days vs Unhealthy Days","CBSA/metro(n=501)","corr=-0.339","county(n=997)","corr=-0.262","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Good Days vs Max AQI","CBSA/metro(n=501)","corr=-0.257","county(n=997)","corr=-0.156","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Good Days vs 90th Percentile AQI","CBSA/metro(n=501)","corr=-0.601","county(n=997)","corr=-0.433","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Good Days vs Median AQI","CBSA/metro(n=501)","corr=-0.616","county(n=997)","corr=-0.386","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Good Days vs Days CO","CBSA/metro(n=501)","corr=0.053","county(n=997)","corr=0.058","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Good Days vs Days NO2","CBSA/metro(n=501)","corr=-0.058","county(n=997)","corr=0.083","reversed","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","yes"
"","US","Good Days vs Days Ozone","CBSA/metro(n=501)","corr=0.167","county(n=997)","corr=0.279","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
